tweet_text,cyberbullying_type
i just find it funny that the girls who bullied me for being ugly in high school have rlly bad make up skills now nd just.... yeah i think karma does exists,age
I used to wear high top supremes to school grades 8-10 Got bullied into dressing like a “normal girl” I forgot i wasn’t normal,age
The preferred shoe of my high school bullies,age
This girl who got relentlessly bullied in High School is becoming more and more famous as a “real life mermaid” and honestly it fills me with joy,age
The only acceptable time to promote St. Ives Apricot Scrub is when the girl who bullied you in high school asks for your skincare routine.,age
When you acccidneltt get high and call a girl gorgeous on bumble and then realize that she’s actually this horrible person who bullied me in high school help me,age
i'm like 2 mins into tall girl and i've never seen anyone get made fun of this much for being tall lmao i was def bullied more for being short but once you get into high school i feel like no one gives a fuck about ur height unless you're like excessively short,age
Mom is asking me to attend my high school reunion.. She doesn't know I was bullied in high school. Those Ilongga girls were mean to me. It was awful.,age
the one girl in ur high school friend group that always passive-aggressively bullied u is now dating some dude who sells weed to high school kids and her twitter is filled with nothing but automatic daily horoscope updates,age
Wait nah more like girls who bullied other girls in high school,age
Me too. Bullied throughout High School. Grateful for it now. Taught me to be a good Mom to teach my girl's self love &amp; love of others!,age
"I was bullied in grade school for having a speech lisp, lupus causing my hair to fall out, being the weird odd girl in class who liked being left alone to do arts/crafts or read comics or horror books/novels and later for being punk/goth alternative when I entered junior high.",age
can we talk about how alex bullied george and april like a high school mean girl? they should have killed him off tbh,age
"Who’da thought the tall, chubby, bullied girl in high school woulda grown up to be naked on the internet?!!",age
I really can’t believe there were/are people adamant that Khune is being bullied and people were not being genuine in their outrage about a man in his 30’s dating a high school girl. I’ve seen it all.,age
You sound like a bit of a school bully... and maybe you should get some help.,age
This is your tell that trying to bully school districts into reopening hasn't gone the way he thought it would.,age
U Brooklyn niggers are working my nerves. Dumb ass outfits. Get it the fuck together plz,ethnicity
"lol, stay classy RT @PoeJace: I hope pk subban fucking dies tonight, someone better fuck him up, dumb nigger shouldn't be playing hockey",ethnicity
@TheRealJacquet it's not a fucking excuse it's fact look at his line he has a bunch of big dumb niggers who don't know what the fuck to do,ethnicity
no... bitch fuck dyke bitch fuck shit nigger pussy ass blue haired bitch fuck dumb ass nigger again fuck pussy ass,ethnicity
I swear to god this dumb ass ratchet nigger bitch needs to shut the fuck up.,ethnicity
"Me and cerebral were driving and some dude on a bike yells ""fuck u nigger"" cerebral almost ran this dumb ass over",ethnicity
@T0KAH0NTAS_: you're dumb as fuck. RT @JakeChiodosTarr: Fake nails remind me of niggers. Aka ignorant black people. Ewwwww thank you&lt;3,ethnicity
@_LOWKEYCEEJAY FUCK U NIGGER U THE ONE YAPPING TALKIN THAT DUMB SHIT U SOUND LIKE U GOT THE PROBLEM,ethnicity
fuck you jordan you dumb nigger http://iemoji.com/tw/gxw6im pic.twitter.com/9WjJDSDYRr,ethnicity
"Fuck dat sad ass hoe dawg ! Lol @ThaCockyKind: Lmao! Po lil hoe. RT @tayyoung_: FUCK OBAMA, dumb ass nigger""",ethnicity
"if you actually knew how to read the pedo narrative put on him is false. He was 15 when the girl was 16 and she lied. if you’re a black male, they police will charge you with anything because of this thing called systematic racism you saying “past” like he stop cheating on her",ethnicity
Where the smart WHITE ppl at on my timeline cuz these niggers dumb as fuck,ethnicity
Ya just don't understand how happy that fuck ass dumb ass ugly ass fat ass annoying ass nigger makes me,ethnicity
"Fuck a typo! &gt;“@AlexLinder5: @weLOVEsue Besides, you jerk chicken, it's statistics, not autistics. Even for a nigger, that's pretty dumb.”",ethnicity
i hate living with NIGGERS. like why would you put POTATOES in the fridge you DUMB FUCK.,ethnicity
"We can’t fix the future if we can’t agree on what happened in the past and its effects on today. There are people who refuse to change anything to help black people, because either they’re actually racist bad people, or think it’s black people’s fault.",ethnicity
Fucking Nigger won again. &lt;----- fuck pussy ass bitches that say dumb shit like this are racist. Anyone disagree?,ethnicity
"And yes, my friends call me Kuntsi... bitch is an understatement! Lol I’m also not soft, weak and insecure like ALL the females in this video.",gender
"RT @Kal1699: @MT8_9 I can't favorite enough! What reproductive rights do men have? None! ""Keep in your pants!"" ""Takes two to tango!"" ""Men s…",gender
"if you call women ""females"" or ""bitches"" when talking abt us as a whole i fucking hate you",gender
If you don't like the constitution and you vote for a person like #Hillary then you're a #feminazi,gender
dont call yo self that “coo female” if u get mad at me calling u a bitch,gender
"Summary of Kat-stupid,vicious,aggressive,disrespectful,dishonest,shameless,lack of cooking skills.Please feel free to add more. #mkr #bully",gender
How can 5H preach equality & feminism but praise Frankie Grande who makes rape jokes and think lesbians choose to be gay,gender
"In the real world, if a man calls a female coworker a fucking bitch, he's getting canned.",gender
"RT @M_delaFontaine: @mmjspelman @Stedman77Claire @mandbeck @YoungsMaggie @beckym1985 yes, I'm not sexist but it's very much a ladies job",gender
RT @niceguy239372: @MT8_9 @ExposeFeminism @MeReachingout @mjjchgdm @sh00ter_d yeah rape culture is a lie!! So true http://t.co/CE6emx2zh9,gender
"How could anyone make rape, gay, racist, sexist, suicide/homicide jokes expecting a laugh?",gender
"@Ribsturbation1 sTay away from, Rape jokes, Sexist jokes, Religious jokes or jokes about Gays and yall keep killing it. Learning experience",gender
"rape jokes, child molestation, blatant gay slurs, racist inferences etc. One of the VA's who accused Vic of sexual assault was laughing about a joke of a ""rape corner"". There was no evidence of Vic's assault so people think it is weird they were laughing at rape jokes.",gender
"It's not even the first time with a similar joke: Persona 3 had the ""let's go hit on girls! THAT ONE'S A DUDE EWW"" beach scene and P4's Kanji is pretty much treated with ""WATCH OUT HE MIGHT RAPE ALL THE GUYS BECAUSE HE MIGHT BE GAY"" the whole game.",gender
"RT @Dazzling19: Just me, or hot blondes on #mkr not at all hot?? Just average!",gender
RT @SimpsonMatt: Kim Kardashian has had marriages that didn't stretch as long as #MKR,gender
"Bet 90% of the people complaining were cishet xd buddy, we gay people joke about bottom and top all the time. If the girl wasn't enforcing hurtful stereotypes, condoning rape, paedophilia or something like that, stfu. Also, please, FUCKING PLEASE let gay people decide +",gender
"@GidgitVonLaRue exactly, how the hell do you fuck up breakfast 😱🙈🙀💉 #mkr",not_cyberbullying
"@o__ii2 And he will teach you murder, rape and pedophilia as well. http://t.co/x9Bz3STFjP",not_cyberbullying
"@Sir5000 @StormsOnSaturn looking into it, ty for the headsup.",not_cyberbullying
Amo que @MelCornelius sea mi pareja de hacer Bullying y planes malignos&lt;3 Te amo meli!!!!,not_cyberbullying
Ahaa Me &amp;&amp; My BetterHalf Need Gone Run That,not_cyberbullying
"@PeerWorker @EvvyKube you've now repeatedly told people that I called you stupid, though.",not_cyberbullying
@MadcapOcelot it's beyond what i am capable of doing.,not_cyberbullying
"@TristanParrish I find more impactful talks are based around a story, but it's a tough balance.",not_cyberbullying
We live in a world where losing your phone is more dramatic than losing your virginity.,not_cyberbullying
"Congrats to @Bigplaycj on breaking the great @JerryRice's record. Not sure what's more impressive, Megatron or Jerry's graciousness. #class",not_cyberbullying
Não é bullying se eu jogar um tijolo na cara d bisk e fingir que estava brincando de pedreiro.,not_cyberbullying
", suppose to be in class doing my work .",not_cyberbullying
@sharonb87 Looking forward to seeing you too!,not_cyberbullying
@Mariana_gmez Sin amistad no hay bulling,not_cyberbullying
"@mykitchenrules Go Rob and Dave, do it for the Boys!! #mkr",not_cyberbullying
"@lisawest99 ...falls in love with a young handsome... (continue to describe Tom Hiddleston:)))) She wants him to belong her entirely, but...",not_cyberbullying
Why would you want a book mark with your school photo on it?,not_cyberbullying
RT @sheconsulting: 63% of women know someone who’s been harassed online. RT @amyvernon: via @RadCampaign #SVU #IntimidationGame http://t.co…,other_cyberbullying
and i'm like:fck off retard,other_cyberbullying
@jaredchase will keep that in mind :),other_cyberbullying
The Academy Awards got a little too intense Sunday.,other_cyberbullying
Never go full robot.,other_cyberbullying
http://t.co/ZxbZV39jru: C A T S ... American Maine Coon - Three Brothers http://t.co/XgdEXcPYqq #american #brothers #coon #maine #three,other_cyberbullying
I have certain autoblock scripts that run against my own accounts. several accounts blocked this morning based on tweets they've sent me.,other_cyberbullying
Catching the last BART home. So excited! What a productive evening. :),other_cyberbullying
"While planning my entire life around getting home before dark, I absolutely have time to applaud men for not raping. #BlameOneNotAll",other_cyberbullying
@tonycollinet @EverydaySexism The truth?  I know.  You hate that.,other_cyberbullying
@ChrisWarcraft lol. I haven't watched tonight's ep yet. Was just about to put it on.,other_cyberbullying
@alain_vde you're awesome! Thanks :),other_cyberbullying
ð£MIND YOUR FUCKING BUSINESS!!! https://t.co/QickrzbpIM,other_cyberbullying
"http://t.co/ZxbZV39jru: Rio, Maine Coon, #takes a bath http://t.co/eo02meFyRy #coon #maine",other_cyberbullying
RT @EyeKeem: @JimmNasty @WARHOLSS @itsSamNigga @propanelord @Plu2o_Nash Yeah the boi sam fucked it up ahaha ! snapped out,other_cyberbullying
"@MegaayLewy yeah I understand that she was bullied and things but to bring something as strong as sexuality, something that effects (NT)",other_cyberbullying
Hindutva and Hinduism is one but u dare not criticise Islamic Terrorism neither Christian Evangilism Christian Church Rapism Christianity Peodophiles Christian Nazism Islamic Barbarism Jehadi Islam #ISIS #Muslim_LIVES_MATTER,religion
"The hypocrite muslim mayor doing the same thing that #ISIS did in middle east, #BlackLivesMattters is no longer about police abbuse , is about idiots like you pandering to pseudo terrorist and stupid lefties vandals.",religion
"Both genders are equally tragic and equally to blame... I'd like to marry, but only if I find the right old fashioned Christian woman. Until then, I'm fine with abstaining entirely.",religion
@obsurfer84 99% of all inventions come from the west. Islam has produced nothing in 1000 years. Mohammed was an illiterate who produced nada,religion
"You tell about ""universal declaration"" Then many countries u take as universal it also believe in all world there is islamic terrorism then you can accept. Universal declaration.",religion
Giving the left anything but an old fashioned beat down is the worst mistake these idiots can make And that goes for anybody who bows down to these psychos. Once you show any sign of submission the left is worse then Muslim terrorists...oh wait,religion
"First - be careful with calling me stupid. It seems you are the idiot. Second: You should know, that the statistics dealing with antisemitic offenes are incorrect. Every case that is not completley clear (which are Most) is counted as extreme right. Even those done by muslims.",religion
"Terrorism means killing innocent people which is sin not jihad...Terrorists have been defaming and destroying their religion.Lord Krishna said in Bhagvat Geeta ""Only Good actions-emotions-intentions can make a good religion "" because Humanity is origin religion of Humanbeings.",religion
I wonder if future Islamic terrorism in the U.K will now be blamed on Jesus and mental health somehow?,religion
"RT @RavenHUWolf: Read it Liberals &amp; get a reality check on life! Within Islam your views, beliefs, any democracy system, mean nothing! http…",religion
Are you talking about The Spanish Inquisition? You idiots make me laugh. You should ask yourself why that happened. At least the Muslims were afforded the decency of leaving .... they did not kill them even though they deserved it after they invaded and occupied for 700 yrs!!!,religion
@SamihNewsam Wrong. Islam didn't give women any rights and it imprisoned them in their houses. Remember Katjia was wealthy BEFORE Islam.,religion
4.88 is threat to pretending Muslims and those who want to leave Islam. 4.89 is punishment 4.90 is if Kaffirs surrender don't fight. How 4.89 is affected? Are you an idiot or acting as a need of time. Take ur time. Slavery is still pending,religion
@MaxBlumenthal @Ajzionts Has Blumenthal ever written about ceaseless Muslim violence against Hindus in Bangladesh. http://t.co/INLiK2TlCP,religion
"In her own words, Kayleigh McEnany is a good Christian woman who takes pride in always doing the right thing and living by her principles. Really makes you wonder what kind of church SHE attends...",religion
"What the hell is going on here??? Should have known, hope all of you idiot liberals calling for defunding police are happy??? Minnesota GOP lawmaker says Antifa and Muslim organization plan to ‘police Minneapolis under Muslim rule’ https://minnesotareformer.com/briefs/minnesota-gop-lawmaker-says-antifa-and-muslim-organization-plan-to-police-minneapolis-under-muslim-rule/ via @mnreformer",religion
